side,formation_window,horizon,component,subgroup_type,subgroup,low_mean_markout_bps,high_mean_markout_bps,high_minus_low_markout_bps,rank_correlation,observation_count,low_count,high_count
buy,2,5,inverse_depth_denominator,all,all,0.7887798783633463,-0.47509150328070066,-1.263871381644047,-0.15773252319725606,208353,14889,51913
buy,2,10,market_flow,all,all,-0.025536644447588384,,,-0.008368517617854721,208278,115920,0
buy,2,10,cancellation,all,all,-0.6588766169213962,0.6255194418790571,1.2843960588004533,0.1166293079907144,208278,49408,23233
buy,2,10,negative_replenishment,all,all,0.9487041303424135,-0.7697082373000939,-1.7184123676425074,-0.1372435778948514,208278,33024,32218
buy,2,10,P2_market_cancel_raw,all,all,-0.554835743536729,0.5755436481661759,1.1303793917029048,0.11051379917535321,208278,48757,23426
buy,2,10,P3_full_raw,all,all,0.7168563844661465,-0.5447570952978174,-1.2616134797639638,-0.10550675269954768,208278,48191,27292
buy,2,10,P3_depth_normalized,all,all,0.13739264454397668,-0.13656165269337167,-0.2739542972373483,-0.017178814682998436,208278,79074,21003
buy,2,10,inverse_depth_denominator,all,all,1.1414982958286342,-0.6974352224199264,-1.8389335182485604,-0.15218131890341896,208278,14888,51889
buy,2,30,market_flow,all,all,-0.054392047084371474,,,-0.004139913889661886,207978,115711,0
buy,2,30,cancellation,all,all,-0.9457536291589169,0.7284582075804596,1.6742118367393766,0.07635284189396352,207978,49336,23195
buy,2,30,negative_replenishment,all,all,1.1817944672420395,-1.1588914992913424,-2.340685966533382,-0.08795291345331112,207978,32961,32156
buy,2,30,P2_market_cancel_raw,all,all,-0.6284476251614558,0.5300179942448826,1.1584656194063383,0.07165084231824803,207978,48681,23387
buy,2,30,P3_full_raw,all,all,0.8556571207441325,-0.9399650833700895,-1.795622204114222,-0.06947267255694496,207978,48122,27242
buy,2,30,P3_depth_normalized,all,all,0.1798436954908291,-0.47198256703585095,-0.6518262625266801,-0.018320381825482856,207978,78962,20972
buy,2,30,inverse_depth_denominator,all,all,1.2516100523540878,-1.0014413092838903,-2.2530513616379784,-0.09395474554403212,207978,14871,51805
buy,2,60,market_flow,all,all,-0.1215008152229154,,,-0.006573252297051975,207528,115486,0
buy,2,60,cancellation,all,all,-1.2487062815931527,0.6674162025785455,1.9161224841716982,0.04963272537934212,207528,49267,23154
buy,2,60,negative_replenishment,all,all,1.211711564922124,-1.3428759310070681,-2.554587495929192,-0.06026121999540126,207528,32890,32104
buy,2,60,P2_market_cancel_raw,all,all,-0.7568920603489455,0.37051010703636245,1.1274021673853079,0.04540220986184218,207528,48601,23346
buy,2,60,P3_full_raw,all,all,0.8025416713758033,-1.2264244084277585,-2.0289660798035616,-0.05260099734334252,207528,48010,27189
buy,2,60,P3_depth_normalized,all,all,0.16331229894886778,-0.8948701259476028,-1.0581824248964706,-0.023999162148775795,207528,78777,20924
buy,2,60,inverse_depth_denominator,all,all,0.916251353578315,-1.0218773010264224,-1.9381286546047374,-0.06166554828009952,207528,14842,51683
buy,2,300,market_flow,all,all,-0.726946762821212,,,0.00028366919124431434,203928,113411,0
buy,2,300,cancellation,all,all,-2.7022970219795943,-1.4833086370429183,1.218988384936676,0.014312625656141938,203928,48323,22760
buy,2,300,negative_replenishment,all,all,-0.2611296701983364,-2.225380700978548,-1.9642510307802117,-0.018939958830428885,203928,32377,31392
